"タイトル","出力日付","会社名","会計単位","会計年度","指示日付（開始）","指示日付（終了）","仕訳日付","仕訳番号","計上種類","入力日付","入力者","行種類","仕訳行番号","勘定科目コード（借方）","勘定科目名称（借方）","補助科目コード（借方）","補助科目名称（借方）","部門コード（借方）","部門名称（借方）","税計算区分（借方）","消費税区分（借方）","摘要（借方）","金額（借方）","消費税額（借方）","勘定科目コード（貸方）","勘定科目名称（貸方）","補助科目コード（貸方）","補助科目名称（貸方）","部門コード（貸方）","部門名称（貸方）","税計算区分（貸方）","消費税区分（貸方）","摘要（貸方）","金額（貸方）","消費税額（貸方）"
"仕訳帳","2023/10/20","限界開発鯖","本社","2023","2023/8/1","2023/8/31","2023/8/24","0000002","月次仕訳","2023/10/20","伊藤愛基","明細",1,"","","","","","","","","","","","x501","受取寄付金","","","","","対象外","対象外","",300,0
"仕訳帳","2023/10/20","限界開発鯖","本社","2023","2023/8/1","2023/8/31","2023/8/24","0000002","月次仕訳","2023/10/20","伊藤愛基","明細",2,"111","普通預金","001","ソニー銀行普通預金","","","対象外","対象外","",300,0,"","","","","","","","","","",""
"仕訳帳","2023/10/20","限界開発鯖","本社","2023","2023/8/1","2023/8/31","2023/8/24","0000002","月次仕訳","2023/10/20","伊藤愛基","合計",0,"","","","","","","","","",300,"","","","","","","","","","",300,""
